Number,Date&Time,ms,CH1,CH2,CH3
NO.,Time,ms,degC,degC,degC
176,22/01/2021 11:09,500,21.6,21.1,22
177,22/01/2021 11:09,0,21.6,21.1,22
178,22/01/2021 11:09,500,21.6,21.1,22
179,22/01/2021 11:09,0,21.7,21,22
180,22/01/2021 11:09,500,21.7,21,22
181,22/01/2021 11:09,0,21.6,21,22
182,22/01/2021 11:09,500,21.6,21,22
183,22/01/2021 11:09,0,21.7,21,22
184,22/01/2021 11:09,500,21.6,21.1,22
185,22/01/2021 11:09,0,21.6,21,22
186,22/01/2021 11:09,500,21.6,21.1,22
187,22/01/2021 11:09,0,21.6,21.1,22
188,22/01/2021 11:09,500,21.7,21.1,22
189,22/01/2021 11:09,0,21.7,21.1,22
190,22/01/2021 11:09,500,21.8,21.1,22
191,22/01/2021 11:09,0,21.8,21.2,22
192,22/01/2021 11:09,500,21.8,21.1,22
193,22/01/2021 11:09,0,21.7,21.1,22
194,22/01/2021 11:09,500,21.7,21.2,22
195,22/01/2021 11:09,0,21.8,21.2,22
196,22/01/2021 11:09,500,21.7,21.2,22
197,22/01/2021 11:09,0,21.7,21.2,22
198,22/01/2021 11:09,500,21.8,21.2,22
199,22/01/2021 11:09,0,21.8,21.2,22
200,22/01/2021 11:09,500,21.8,21.2,22
201,22/01/2021 11:10,0,21.8,21.2,22
202,22/01/2021 11:10,500,21.8,21.2,21.9
203,22/01/2021 11:10,0,21.8,21.2,22
204,22/01/2021 11:10,500,21.8,21.2,22
205,22/01/2021 11:10,0,21.8,21.2,22
206,22/01/2021 11:10,500,21.9,21.2,22
207,22/01/2021 11:10,0,21.9,21.3,22
208,22/01/2021 11:10,500,21.8,21.2,22
209,22/01/2021 11:10,0,21.9,21.2,22
210,22/01/2021 11:10,500,21.9,21.3,22
211,22/01/2021 11:10,0,21.9,21.3,22
212,22/01/2021 11:10,500,21.8,21.2,22
213,22/01/2021 11:10,0,21.8,21.2,22
214,22/01/2021 11:10,500,21.8,21.2,22
215,22/01/2021 11:10,0,21.8,21.2,22
216,22/01/2021 11:10,500,21.8,21.2,22
217,22/01/2021 11:10,0,21.8,21.2,22
218,22/01/2021 11:10,500,21.8,21.2,22
219,22/01/2021 11:10,0,21.8,21.2,22
220,22/01/2021 11:10,500,21.8,21.2,22
221,22/01/2021 11:10,0,21.9,21.2,22
222,22/01/2021 11:10,500,21.8,21.2,22
223,22/01/2021 11:10,0,21.8,21.2,22
224,22/01/2021 11:10,500,21.8,21.2,22
225,22/01/2021 11:10,0,21.8,21.2,22
226,22/01/2021 11:10,500,21.9,21.2,22
227,22/01/2021 11:10,0,21.9,21.2,22
228,22/01/2021 11:10,500,21.8,21.2,22
229,22/01/2021 11:10,0,21.8,21.3,22
230,22/01/2021 11:10,500,21.8,21.3,22
231,22/01/2021 11:10,0,21.8,21.2,21.9
232,22/01/2021 11:10,500,21.8,21.2,21.8
233,22/01/2021 11:10,0,21.8,21.3,21.9
234,22/01/2021 11:10,500,21.9,21.3,22
235,22/01/2021 11:10,0,21.9,21.3,22.1
236,22/01/2021 11:10,500,21.8,21.3,22.1
237,22/01/2021 11:10,0,21.9,21.3,22.1
238,22/01/2021 11:10,500,21.9,21.2,22.2
239,22/01/2021 11:10,0,21.9,21.3,22.3
240,22/01/2021 11:10,500,21.9,21.3,22.3
241,22/01/2021 11:10,0,21.9,21.3,22.3
242,22/01/2021 11:10,500,21.9,21.3,22.3
243,22/01/2021 11:10,0,21.9,21.3,22.3
244,22/01/2021 11:10,500,21.9,21.3,22.4
245,22/01/2021 11:10,0,21.9,21.3,22.4
246,22/01/2021 11:10,500,21.9,21.3,22.3
247,22/01/2021 11:10,0,21.9,21.3,22.4
248,22/01/2021 11:10,500,21.9,21.3,22.4
249,22/01/2021 11:10,0,22,21.3,22.4
250,22/01/2021 11:10,500,22,21.3,22.5
251,22/01/2021 11:10,0,22,21.3,22.5
252,22/01/2021 11:10,500,22,21.3,22.5
253,22/01/2021 11:10,0,22,21.3,22.6
254,22/01/2021 11:10,500,22,21.4,22.6
255,22/01/2021 11:10,0,22,21.5,22.5
256,22/01/2021 11:10,500,22,21.5,22.6
257,22/01/2021 11:10,0,22,21.5,22.6
258,22/01/2021 11:10,500,22,21.5,22.6
259,22/01/2021 11:10,0,22,21.5,22.6
260,22/01/2021 11:10,500,22.1,21.5,22.6
261,22/01/2021 11:10,0,22,21.5,22.6
262,22/01/2021 11:10,500,22.1,21.5,22.6
263,22/01/2021 11:10,0,22.1,21.5,22.7
264,22/01/2021 11:10,500,22.1,21.5,22.7
265,22/01/2021 11:10,0,22.1,21.5,22.7
266,22/01/2021 11:10,500,22.1,21.5,22.7
267,22/01/2021 11:10,0,22.1,21.5,22.7
268,22/01/2021 11:10,500,22.1,21.5,22.7
269,22/01/2021 11:10,0,22.1,21.5,22.8
270,22/01/2021 11:10,500,22.1,21.5,22.8
271,22/01/2021 11:10,0,22.1,21.5,22.8
272,22/01/2021 11:10,500,22.1,21.5,22.8
273,22/01/2021 11:10,0,22.1,21.6,22.9
274,22/01/2021 11:10,500,22.2,21.5,22.9
275,22/01/2021 11:10,0,22.2,21.6,22.9
276,22/01/2021 11:10,500,22.1,21.5,22.9
277,22/01/2021 11:10,0,22.2,21.5,22.9
278,22/01/2021 11:10,500,22.2,21.5,22.9
279,22/01/2021 11:10,0,22.2,21.5,23
280,22/01/2021 11:10,500,22.2,21.6,22.9
281,22/01/2021 11:10,0,22.2,21.5,23
282,22/01/2021 11:10,500,22.3,21.6,23
283,22/01/2021 11:10,0,22.3,21.6,23
284,22/01/2021 11:10,500,22.3,21.6,23
285,22/01/2021 11:10,0,22.2,21.6,23
286,22/01/2021 11:10,500,22.2,21.6,23
287,22/01/2021 11:10,0,22.3,21.6,23
288,22/01/2021 11:10,500,22.3,21.6,23.1
289,22/01/2021 11:10,0,22.3,21.6,23.1
290,22/01/2021 11:10,500,22.3,21.6,23.1
291,22/01/2021 11:10,0,22.3,21.6,23.1
292,22/01/2021 11:10,500,22.3,21.6,23.1
293,22/01/2021 11:10,0,22.3,21.6,23.1
294,22/01/2021 11:10,500,22.3,21.6,23.1
295,22/01/2021 11:10,0,22.3,21.6,23.1
296,22/01/2021 11:10,500,22.3,21.6,23.1
297,22/01/2021 11:10,0,22.3,21.6,23.1
298,22/01/2021 11:10,500,22.3,21.6,23.1
299,22/01/2021 11:10,0,22.3,21.6,23.1
300,22/01/2021 11:10,500,22.3,21.6,23.1
301,22/01/2021 11:10,0,22.3,21.6,23.1
302,22/01/2021 11:10,500,22.3,21.6,23.1
303,22/01/2021 11:10,0,22.3,21.7,23.1
304,22/01/2021 11:10,500,22.3,21.7,23.1
305,22/01/2021 11:10,0,22.3,21.6,23.1
306,22/01/2021 11:10,500,22.4,21.7,23.2
307,22/01/2021 11:10,0,22.3,21.7,23.3
308,22/01/2021 11:10,500,22.3,21.6,23.3
309,22/01/2021 11:10,0,22.3,21.6,23.4
310,22/01/2021 11:10,500,22.3,21.6,23.4
311,22/01/2021 11:10,0,22.3,21.6,23.4
312,22/01/2021 11:10,500,22.3,21.6,23.3
313,22/01/2021 11:10,0,22.4,21.6,23.3
314,22/01/2021 11:10,500,22.3,21.6,23.3
315,22/01/2021 11:10,0,22.3,21.6,23.3
